county,cases,avg_d_kbps,avg_u_kbps,avg_lat_ms,tests,devices,index_right,ALAND,AWATER
Mobile,5047098,36455.276422764226,9892.684088269454,52.24738675958188,3.0685249709639955,1.470383275261324,478.0,3184158350.0,1073926668.0
Monroe,225542,11682.275,4784.45,76.325,3.775,1.1,897.0,2656469660.0,22609681.0
Montgomery,3256761,42563.19194312796,11189.123222748814,37.334123222748815,2.8364928909952605,1.5165876777251184,2997.0,2034017780.0,37744718.0
Morgan,1696609,28132.462633451956,8407.224199288255,48.97864768683274,4.316725978647687,1.387900355871886,2436.0,1501156832.0,50377239.0
Out of AL,0,,,,,,,,
Perry,173992,27518.5,5323.25,35.25,1.875,1.125,246.0,1863900621.0,10937769.0
Pickens,296060,16928.677419354837,4839.193548387097,63.483870967741936,3.3548387096774195,1.1290322580645162,1686.0,2282674053.0,22740989.0
Pike,414845,32000.15068493151,9114.13698630137,53.10958904109589,2.506849315068493,1.3287671232876712,1043.0,1740647520.0,2336975.0
Randolph,242130,15921.98275862069,5215.068965517241,75.93103448275862,2.2586206896551726,1.0862068965517242,2990.0,1503615937.0,9285420.0
Russell,586081,30294.803571428572,8593.779761904761,52.20238095238095,3.0833333333333335,1.3511904761904763,2471.0,1660622936.0,15596319.0
Shelby,2667789,44333.5412371134,9462.249140893471,43.233676975945016,3.6151202749140894,1.5859106529209621,1467.0,2034134905.0,62515663.0
St. Clair,1074992,31475.334586466164,7478.582706766917,50.63157894736842,2.191729323308271,1.2669172932330828,1385.0,1635786810.0,56407166.0
Sumter,164384,27047.727272727272,6468.515151515152,50.42424242424242,2.4545454545454546,1.121212121212121,1068.0,2340898915.0,24634883.0
Talladega,909614,26375.68263473054,6560.173652694611,52.52095808383233,3.2095808383233533,1.311377245508982,1082.0,1908293036.0,60927931.0
Tallapoosa,486000,31360.676470588234,7129.014705882353,48.88235294117647,2.323529411764706,1.1176470588235294,2016.0,1855782851.0,128806123.0
Tuscaloosa,3206433,45019.03218390804,12128.250574712643,39.35632183908046,2.9034482758620688,1.4160919540229886,586.0,3421010003.0,78714550.0
Unassigned,0,,,,,,,,
Walker,926658,32086.489361702126,8547.409574468085,44.22872340425532,2.5319148936170213,1.3191489361702127,2981.0,2048686078.0,36754696.0
Washington,220246,25156.90625,5785.25,59.03125,2.25,1.03125,2111.0,2797720322.0,21652733.0
Wilcox,187538,13072.411764705883,4095.5882352941176,147.88235294117646,2.2941176470588234,1.0588235294117647,587.0,2301075085.0,49057525.0
Winston,327111,25797.52475247525,5690.534653465346,89.35643564356435,3.99009900990099,1.188118811881188,1069.0,1587614057.0,48917203.0
